"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Eye of the Beholder",15000,16500.8,1760.1,"R for some strong violence, sexuality, language and brief drug content",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Village Roadshow Productions","United States","English","Destination Films",2000
"Eye of the Dolphin",2500,72.2,0,"PG-13 for some substance abuse involving a young teen.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Monterey Media",2007
"Fabled",400,31.4,NA,"R for language and some violence",NA,NA,"Original Screenplay","Horror","Live Action",NA,NA,"United States","English","Indican Pictures",2004
"Face",NA,108.2,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Indican Pictures",2004
"Family Law",NA,38.6,NA,"Not Rated","102 minutes",NA,NA,NA,"Live Action",NA,NA,"United States","English","IFC First Take",2006
"Fateless",12000,196.9,NA,"R for some disturbing Holocaust images including nudity, and brief strong language","140 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction",NA,"United States","English","ThinkFilm",2006
"Fay Grim",NA,126.7,NA,"R for language and some sexuality",NA,"Henry Fool","Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Magnolia Pictures",2007
"FearDotCom",40000,13208,81.3,"R for violence including grizzly images of torture, nudity and language","101 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction",NA,"United States","English","Warner Bros.",2002
"Femme Fatale",35000,6630.3,10200,"R for strong sexuality, violence and language",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Warner Bros.",2002
"Film Geek",NA,17.3,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","First Run Features",2006
"First Morning",300,87.3,NA,"PG-13 for thematic material, some violence and sexual content","89 minutes",NA,NA,"Drama","Live Action",NA,NA,"United States","English","Illuminare",2005
"First Snow",NA,214.9,NA,"R for language, some violence and sexuality.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Yari Film Group Releasing",2007
"Flawless (1999)",27000,4485.5,NA,"R for pervasive language and strong violence",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Tribeca Film","United States","English","MGM, Magnolia Pictures",1999
"For Your Consideration",12000,5549.9,NA,"PG-13 for sexual references and brief language.",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Castle Rock Entertainment","United States","English","Warner Independent",2006
"For the Bible Tells Me So",NA,312.8,5.8,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","First Run Features",2007
"Formula 51",27000,5204,NA,"R for strong violence, language, drug content and some sexuality",NA,NA,"Original Screenplay","Action","Live Action","Contemporary Fiction",NA,"United States","English","Screen Media Films",2002
"Forty Shades of Blue",1500,75.8,96.7,"R for sexuality and language",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Vitagraph Films",2005
"Four Seasons Lodge",NA,58.3,NA,"Not Rated",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","",2009
"Frailty",11000,13110.4,6836.8,"R for violence and some language",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Lionsgate",2002
"Freddy Got Fingered",15000,14249,NA,"R for crude sexual and bizarre humor, and for strong language",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Regency Enterprises, New Regency, MBST Entertainment","United States","English","20th Century Fox",2001
"Freshman Orientation",NA,10.7,NA,"R for strong sexual content, language and some drug use",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Regent Releasing",2007
"From Justin to Kelly",12000,4922.2,NA,"PG for thematic elements, sensuality and brief language",NA,NA,"TV","Musical","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",2003
"Funny Money",NA,2.8,NA,"R for sex-related humor and some language",NA,NA,"Play","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","ThinkFilm",2007
"G.I. Jesus",NA,8.6,NA,"Not Rated",NA,NA,NA,"Thriller",NA,NA,NA,"United States","English","Wildcat Releasing",2007
"Gabriela",50,2335.4,NA,"R for language and some sexuality",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Power Point Films",2001
"Gabrielle",NA,332.8,2442.5,"Not Rated",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"United States","English","IFC Films",2006
"Galapagos",NA,18571.9,8517.9,"Not Rated",NA,NA,"Original Screenplay","Documentary","Live Action","Factual",NA,"United States","English","IMAX Films",1999
"Games of Love and Chance",NA,8.1,NA,"Not Rated",NA,NA,NA,"Drama","Live Action",NA,NA,"United States","English","New Yorker",2005
"Garcon Stupide",NA,151.7,NA,"Not Rated",NA,NA,NA,"Comedy","Live Action",NA,NA,"United States","English","Picture This Entertainment",2005
"Get Carter",40000,14967.2,4450,"R for violence, language, some sexuality and drug content",NA,NA,"Remake","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Warner Bros.",2000
"Get Over It",10000,11560.3,8300,"PG-13 for some crude/sexual humor, teen drinking and language (previously rated R)",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Miramax",2001
"Ghost Dog: The Way of the Samurai",2000,3330.2,7342.3,"R for strong violence and language.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Artisan",2000
"Ghost World",5500,6217.8,2543.8,"R for strong language and some sexual content",NA,NA,"Comic/Graphic Novel","Comedy","Live Action","Contemporary Fiction","Jersey Shore","United States","English","MGM",2001
"Ghosts of Cité Soleil",NA,48.8,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","ThinkFilm",2007
"Girl, Interrupted",24000,28871.2,NA,"R for strong language and content relating to drugs, sexuality and suicide","127 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Red Wagon Entertainment","United States","English","Sony Pictures",1999
"Glitter",8500,4273.4,NA,"PG-13 for some sensuality, language and brief violence",NA,NA,"Original Screenplay","Musical","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",2001
"Go For Zucker",NA,87.5,NA,"Not Rated",NA,NA,NA,"Comedy",NA,NA,NA,"United States","English","First Run Features",2005
"God Grew Tired of Us: The Story of Lost Boys of Sudan",NA,301.4,NA,"PG for thematic elements and some disturbing images",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Newmarket Films",2007
"God's Army",300,2637.7,14.8,"PG for thematic elements and some language",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Excel Entertainment",2000
"Gods and Generals",55000,12882.9,41,"PG-13 for sustained battle sequences",NA,"Gettysburg",NA,"Drama","Live Action","Historical Fiction",NA,"United States","English","Warner Bros.",2003
"Goodbye Dragon Inn",NA,34.7,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","WellSpring",2004
"Gossip",14000,5108.8,7482.4,"R for sexual content including language, and for brief violence",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Warner Bros.",2000
"Goya in Bordeaux",NA,719.8,NA,"R for some sexuality and violent imagery",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","Sony Pictures Classics",2000
"Gray Matters",NA,71.6,NA,"PG-13 for some mature thematic material, sexual content and language.",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Yari Film Group Releasing",2007
"Green Street Hooligans",NA,345.8,3987.4,"R for brutal violence, pervasive language and some drug use",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Freestyle Releasing",2005
"Grizzly Man",NA,3178.4,1326,"R for language.",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Lionsgate",2005
"Guiana 1838",1000,227.2,NA,"Not Rated",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","RBC Radio",2004
"Gunner Palace",NA,607.5,NA,"PG on appeal for strong language throughout, violent situations and some drug references (previously rated R)",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Palm Pictures",2005
"Hamlet",2000,1577.3,842.4,"R for some violence",NA,NA,"Play","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Miramax",2000
"Hannah Takes the Stairs",NA,22.5,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","IFC First Take",2007
"Happy Endings",NA,1315.7,133,"R for sexual content, language and some drug use",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Lionsgate",2005
"Happy Tears",NA,22.5,NA,"R For language, drug use, and some sexual content including brief nudity",NA,NA,NA,"Drama","Live Action",NA,NA,"United States","English","Roadside Attractions",2010
"Hard Candy",950,1024.6,7242.4,"R for disturbing violent and aberrant sexual content involving a teen, and for language.",NA,NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction",NA,"United States","English","Lionsgate",2006
"Hardball",21000,40222.7,3505.8,"PG-13 for thematic elements, language and some violence.",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Paramount Pictures",2001
"Harry and Max",NA,14.9,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","TLA Releasing",2005
"Head Over Heels",14000,10397.4,NA,"PG-13 for sexual content, crude humor and language",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Universal",2001
"Head of State",35200,37788.2,495.5,"PG-13 for language, some sexuality and drug references",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Dreamworks SKG",2003
"Hearts in Atlantis",31000,24185.8,6700,"PG-13 for violence and thematic elements",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Fantasy",NA,"United States","English","Warner Bros.",2001
"Heavy Metal in Baghdad",NA,4.1,NA,"R for pervasive language",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Arts Alliance America",2008
"Henri Cartier-Bresson - Biographie eines Blicks",NA,25.3,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Palm Pictures",2006
"Here and There",NA,24.5,NA,"Not Rated",NA,NA,NA,"Comedy",NA,NA,NA,"United States","English","",2010
"Here on Earth",15000,10494.1,351,"PG-13 for some sensuality and thematic elements",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",2000
"Hey Arnold! The Movie",10000,13684.9,NA,"PG for some thematic elements",NA,NA,"TV","Adventure","Hand Animation","Kids Fiction",NA,"United States","English","Paramount Pictures",2002
"Hidden",8000,3647.4,16244,"R for brief strong violence.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures Classics",2005
"House of the Dead",7000,10199.4,3660.7,"R for pervasive strong violence/gore, language and some nudity.","90 minutes",NA,"Game","Horror","Live Action","Contemporary Fiction",NA,"United States","English","Artisan",2003
"How About You",NA,78.2,NA,"Not Rated",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Strand",2008
"Howard Zinn",NA,120.2,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","First Run Features",2004
"Hunger",NA,154.1,38.8,"Not Rated",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","IFC Films",2008
"In Search of Memory",NA,31.1,NA,"Not Rated","95 minutes",NA,NA,"Documentary",NA,NA,NA,"United States","English","Icarus Films",2010
"Intimate Stories",NA,102.7,NA,"Not Rated","92 minutes",NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","New Yorker",2005
"Kiss of the Dragon",25000,36833.5,NA,"R for strong violence, language, some sexuality and drug content",NA,NA,"Original Screenplay","Action","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",2001
"La Vie Après L'Amour",NA,1795.8,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Alliance Films",2000
"Local Color",NA,49.9,NA,"R for language",NA,NA,NA,"Drama","Live Action","Historical Fiction",NA,"United States","English","Monterey Media",2007
"Look at Me",NA,1736.5,200.2,"PG-13 for brief language and a sexual reference",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures Classics",2005
"Looking for Comedy in the Muslim World",NA,887.4,NA,"PG-13 for drug content and brief strong language",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Warner Independent",2006
"Lourdes",NA,9.4,NA,"Not Rated",NA,NA,NA,"Drama",NA,NA,NA,"United States","English","Pallisades Tartan",2010
"Lucky Numbers",65000,10014.2,NA,"R for language, sexuality, some drug use and brief violence",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Paramount Pictures",2000
